TimeStamp,AccX,AccY,AccZ
78592468,215,693,1848
78592488,247,706,1922
78592508,200,656,1961
78592528,76,552,1839
78592548,126,527,1858
78592569,218,487,1967
78592589,183,398,1971
78592609,125,325,2046
78592629,119,341,2115
78592649,161,395,2069
78592669,232,473,2017
78592689,243,493,1947
78592710,218,464,1868
78592730,197,399,1952
78592750,159,388,2102
78592770,145,357,2121
78592790,150,342,2029
78592810,188,404,1959
78592830,243,490,1899
78592850,262,497,1810
78592871,254,473,1777
78592891,239,476,1850
78592911,182,443,1846
78592931,122,404,1847
78592951,83,371,1863
78592971,84,391,1913
78592991,90,413,1953
78593012,122,440,1940
78593032,168,461,1909
78593052,157,486,1876
78593072,132,503,1899
78593092,116,496,1970
78593112,118,470,1996
78593132,111,448,1940
78593153,99,466,1897
78593173,113,493,1890
78593193,143,495,1904
78593213,142,475,1864
78593233,138,475,1860
78593253,149,483,1897
78593273,148,479,1925
78593294,148,455,1926
78593314,153,447,1907
78593334,165,457,1883
78593354,169,480,1879
78593374,175,506,1893
78593394,164,503,1888
78593414,156,476,1876
78593435,136,462,1911
78593455,123,464,1907
78593475,123,476,1888
78593495,138,481,1911
78593515,128,461,1931
78593535,115,438,1961
78593555,126,447,1963
78593576,146,465,1941
78593596,162,465,1888
78593616,136,446,1828
78593636,124,443,1894
78593656,148,467,1945
78593676,159,472,1935
78593696,152,465,1919
78593717,144,440,1923
78593737,154,447,1916
78593757,158,457,1920
78593777,171,444,1896
78593797,181,453,1931
78593817,189,447,1952
78593837,153,430,1915
78593858,160,425,1885
78593878,171,456,1892
78593898,191,477,1865
78593918,210,485,1909
78593938,188,451,1880
78593958,162,437,1860
78593978,168,452,1873
78593999,179,481,1868
78594019,200,503,1841
78594039,216,529,1872
78594059,224,530,1873
78594079,202,511,1882
78594099,192,506,1857
78594119,217,550,1836
78594140,263,594,1832
78594160,267,584,1819
78594180,246,555,1846
78594200,231,546,1875
78594220,233,566,1856
78594240,223,580,1822
78594260,203,573,1805
78594281,193,568,1802
78594301,190,581,1777
78594321,167,605,1754
78594341,130,591,1742
78594361,100,569,1767
78594381,83,563,1812
78594401,80,556,1822
78594422,89,575,1827
78594442,115,616,1820
78594462,137,620,1888
78594482,140,588,1995
78594502,166,565,2003
78594522,160,551,1987
78594542,152,562,2031
78594563,191,564,2127
78594583,27,597,2075
78594603,-35,671,1964
78594623,203,629,1953
78594643,224,330,2647
78594663,6,24,3363
78594683,46,-209,3406
78594704,44,-327,2911
78594724,-94,-169,2440
78594744,-111,14,2086
78594764,-118,90,1721
78594784,-203,71,1325
78594804,-256,45,1025
78594824,-168,124,1201
78594845,16,238,1723
78594865,60,213,2078
78594885,-19,170,2277
78594905,-145,89,2362
78594925,-210,59,2343
78594945,-216,24,1965
78594965,-180,104,1309
78594986,-119,309,1014
78595006,-135,447,1225
78595026,-109,547,1430
78595046,-39,557,1547
78595066,-78,536,1645
78595086,-112,504,1660
78595106,-73,504,1593
78595126,-49,592,1687
78595147,-58,655,1943
78595167,-79,605,2151
78595187,-42,487,2188
78595207,64,355,2230
78595227,229,290,2388
78595247,214,280,2729
78595267,38,302,2829
78595288,35,313,2452
78595308,228,396,2181
78595328,343,398,2523
78595348,267,192,2789
78595368,83,-79,2551
78595388,-77,-229,2235
78595408,-21,-156,1986
78595429,140,29,1859
78595449,312,168,2252
78595469,368,257,2106
78595489,353,385,1474
78595509,155,424,1325
78595529,33,357,1422
78595549,34,281,1340
78595570,-95,294,1274
78595590,-198,320,1271
78595610,-166,339,1359
78595630,-147,359,1187
78595650,-190,414,1458
78595670,-219,403,1668
78595690,-246,352,1670
78595711,-256,304,1774
78595731,-210,335,1897
78595751,-167,362,1949
78595771,-128,435,2065
78595791,-90,483,2222
78595811,-87,490,2148
