SysTime,TimeStamp,NoOfSamplesPerSecond
78592936,78592468,18
78593137,78592830,10
78593338,78593032,10
78593539,78593233,10
78593741,78593435,15
78593942,78593737,10
78594148,78593938,10
78594349,78594140,10
78594552,78594341,10
78594773,78594542,9
78594974,78594724,10
78595175,78594925,11
78595376,78595147,10
78595577,78595348,10
78595791,78595549,9
78595992,78595731,10
78596193,78595932,10
78596395,78596134,10
78596596,78596335,11
78596799,78596557,9
78597000,78596738,10
78597202,78596939,10
78597403,78597141,10
78597604,78597342,10
78597806,78597543,9
78598007,78597725,10
78598209,78597926,11
78598411,78598148,10
78598613,78598349,10
78598816,78598551,9
78599021,78598732,11
78599222,78598953,10
78599424,78599155,10
78599627,78599356,9
78599832,78599538,10
78600033,78599739,10
78600235,78599940,10
78600440,78600142,11
78600642,78600363,9
78600844,78600545,10
78601046,78600746,10
78601248,78600947,10
78601450,78601149,10
78601651,78601350,15
78601857,78601652,10
78602058,78601854,10
78602260,78602055,10
78602462,78602257,9
78602664,78602438,10
78602869,78602639,11
78603071,78602861,10
78603272,78603062,9
78603486,78603244,10
78603688,78603445,10
78603890,78603646,10
78604092,78603848,10
78604294,78604049,10
78604500,78604251,10
78604701,78604452,10
78604919,78604653,10
78605120,78604855,10
78605322,78605056,9
78605524,78605238,10
78605726,78605439,11
78605928,78605661,10
78606130,78605862,9
78606331,78606043,10
78606533,78606245,10
78606736,78606446,10
78606937,78606647,10
78607141,78606849,10
78607346,78607050,10
78607548,78607252,10
78607751,78607453,10
78607952,78607655,10
78608154,78607856,9
78608356,78608037,10
78608558,78608239,11
78608760,78608460,10
78608961,78608662,9
78609164,78608843,16
78609365,78609165,10
78609567,78609367,10
78609768,78609568,9
78609969,78609749,10
78610170,78609951,10
78610372,78610152,10
78610575,78610354,10
78610777,78610555,10
78610979,78610756,10
78611181,78610958,10
78611383,78611159,10
78611585,78611361,10
78611789,78611562,10
78611990,78611763,10
78612192,78611965,10
78612399,78612166,10
78612601,78612368,9
78612812,78612549,11
78613014,78612771,10
78613217,78612972,10
78613419,78613173,10
78613621,78613375,9
78613824,78613556,11
78614027,78613778,9
78614230,78613959,10
78614432,78614160,10
78614635,78614362,10
78614837,78614563,10
78615039,78614765,11
78615242,78614986,10
78615445,78615188,9
78615647,78615369,10
78615850,78615570,10
78616056,78615772,11
78616262,78615993,9
78616464,78616174,10
78616666,78616376,10
78616871,78616577,10
